date,value
2020-01,0
2020-02,1
2020-03,5717
2020-04,87187
2020-05,498440
2020-06,1368195
2020-07,2662485
2020-08,3862311
2020-09,4777522
2020-10,5535605
2020-11,6335878
2020-12,7619200
2021-01,8455059
