date,value
2020-01,0
2020-02,34
2020-03,2898
2020-04,6028
2020-05,7734
2020-06,10670
2020-07,16766
2020-08,21462
2020-09,25986
2020-10,34864
2020-11,48246
2020-12,55095
2021-01,56717
