date,value
2020-01,0
2020-02,73
2020-03,14656
2020-04,75103
2020-05,116827
2020-06,186180
2020-07,263519
2020-08,321421
2020-09,378727
2020-10,481930
2020-11,668151
2020-12,978714
2021-01,1113224
