date,value
2020-01,0
2020-02,3
2020-03,111
2020-04,8594
2020-05,51390
2020-06,40997
2020-07,240553
2020-08,67561
2020-09,597487
2020-10,653655
2020-11,45653
2020-12,1274519
2021-01,684952
