date,value
2020-01,1
2020-02,3
2020-03,1397
2020-04,34863
2020-05,181827
2020-06,566840
2020-07,1695988
2020-08,3621245
2020-09,6225763
2020-10,8184082
2020-11,9462809
2020-12,10266674
2021-01,10557985
