date,value
2020-01,0
2020-02,2
2020-03,119
2020-04,11498
2020-05,155850
2020-06,235309
2020-07,234439
2020-08,167724
2020-09,144044
2020-10,259455
2020-11,555053
2020-12,735972
2021-01,406507
