date,value
2020-01,0
2020-02,0
2020-03,17
2020-04,1073
2020-05,4555
2020-06,9152
2020-07,13939
2020-08,17045
2020-09,20456
2020-10,27787
2020-11,39491
2020-12,55692
2021-01,64134
