date,value
2020-01,0
2020-02,2
2020-03,121
2020-04,11619
2020-05,167469
2020-06,402778
2020-07,637217
2020-08,804941
2020-09,948985
2020-10,1208440
2020-11,1763493
2020-12,2499465
2021-01,2905972
