date,value
2020-01,2
2020-02,2
2020-03,2337
2020-04,106498
2020-05,396575
2020-06,640246
2020-07,838461
2020-08,987470
2020-09,1162428
2020-10,1606267
2020-11,2275936
2020-12,3100018
2021-01,3507201
