date,value
2020-01,0
2020-02,2
2020-03,19259
2020-04,112050
2020-05,150376
2020-06,150376
2020-07,150376
2020-08,150376
2020-09,150376
2020-10,150376
2020-11,150376
2020-12,150376
2021-01,150376
