date,value
2020-01,0
2020-02,0
2020-03,8464
2020-04,24543
2020-05,27125
2020-06,28346
2020-07,28445
2020-08,29011
2020-09,31411
2020-10,35878
2020-11,45069
2020-12,50689
2021-01,53314
