date,value
2020-01,0
2020-02,1
2020-03,5277
2020-04,60750
2020-05,41727
2020-06,20138
2020-07,26585
2020-08,29525
2020-09,23433
2020-10,23995
2020-11,36997
2020-12,77438
2021-01,49985
