date,value
2020-01,0
2020-02,21
2020-03,12407
2020-04,15539
2020-05,5373
2020-06,1404
2020-07,397
2020-08,336
2020-09,398
2020-10,2743
2020-11,16958
2020-12,18028
2021-01,7721
