date,value
2020-01,0
2020-02,21
2020-03,12428
2020-04,27967
2020-05,33340
2020-06,34744
2020-07,35141
2020-08,35477
2020-09,35875
2020-10,38618
2020-11,55576
2020-12,73604
2021-01,81325
