date,value
2020-01,0
2020-02,0
2020-03,35
2020-04,11423
2020-05,61247
2020-06,170147
2020-07,327115
2020-08,489724
2020-09,625512
2020-10,779371
2020-11,823586
2020-12,1066771
2021-01,1212403
