date,value
2020-01,0
2020-02,1
2020-03,1215
2020-04,19224
2020-05,87512
2020-06,220657
2020-07,424637
2020-08,595841
2020-09,738163
2020-10,924962
2020-11,1113543
2020-12,1413935
2021-01,1630258
