date,value
2020-01,0
2020-02,0
2020-03,2453
2020-04,24230
2020-05,10762
2020-06,2949
2020-07,795
2020-08,312
2020-09,642
2020-10,4412
2020-11,11893
2020-12,15064
2021-01,15078
