date,value
2020-01,2
2020-02,59
2020-03,38423
2020-04,139059
2020-05,78602
2020-06,27565
2020-07,19471
2020-08,32692
2020-09,117391
2020-10,558396
2020-11,617997
2020-12,859123
2021-01,868581
