date,value
2020-01,0
2020-02,2
2020-03,143
2020-04,12419
2020-05,158423
2020-06,412558
2020-07,624218
2020-08,815934
2020-09,959977
2020-10,1218565
2020-11,1874594
2020-12,2599569
2021-01,2915984
