date,value
2020-01,0
2020-02,18
2020-03,13356
2020-04,27637
2020-05,7968
2020-06,11592
2020-07,6835
2020-08,5362
2020-09,4425
2020-10,4488
2020-11,5435
2020-12,21377
2021-01,378
