date,value
2020-01,3
2020-02,673
2020-03,123792
2020-04,19463
2020-05,202664
2020-06,220436
2020-07,237537
2020-08,258218
2020-09,303011
2020-10,669430
2020-11,1501554
2020-12,1983689
2021-01,2268733
